customer_id,Name,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
fffe4300490044003600310032003000,Delcie Silva,52,M,5ZQQT9N,Village,Premium Membership,2015-02-21,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,02:47:58,2,296.24,39146.44,14.0,706.95,Yes,No,No,Not Applicable,Poor Customer Service,3
fffe430049004400340031003300,Selina Deschamp,15,M,8US42MS,Town,No Membership,2016-04-09,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,21:33:49,13,33.88,48657.08,7.0,588.73,Yes,No,No,Not Applicable,Poor Website,5
fffe43004900440036003000350032003000,Fumiko Gagnier,49,M,MFEOCSL,City,No Membership,2017-07-05,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13:49:25,9,76.11,28870.14,28.0,683.65,Yes,No,Yes,No Information Available,Poor Product Quality,5
fffe43004900440032003900300035003500,Sandee Toy,62,M,FUUHDG8,City,Silver Membership,2017-05-14,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,18:21:20,20,34.03,47033.73,18.0,689.55,Yes,No,No,Not Applicable,Poor Website,4
fffe43004900440032003900310035003900,Ha Shoaf,57,F,9N6R8MV,Town,Basic Membership,2017-07-05,?,CID13169,Credit/Debit Card Offers,Desktop,Mobile_Data,06:50:43,14,734.74,35186.24,18.0,616.96,Yes,No,No,Not Applicable,Poor Product Quality,5
fffe43004900440034003000310037003900,Kerri Shoaf,29,M,69MQOVH,Town,No Membership,2015-11-29,Yes,CID17543,Gift Vouchers/Coupons,?,Mobile_Data,03:45:17,15,949.23,26269.88,23.0,604.09,No,Yes,No,Not Applicable,Too many ads,-1
fffe43004900440035003900350031003100,Krystin Smidt,40,F,5SR5A1R,City,Basic Membership,2016-10-19,Yes,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,16:50:47,19,508.7,45150.96,28.0,595.61,No,Yes,No,Not Applicable,Too many ads,5
fffe43004900440031003300350035003700,Drucilla Rodas,58,M,AGKG4RB,City,No Membership,2015-02-20,?,CID15792,Gift Vouchers/Coupons,Smartphone,Wi-Fi,19:42:44,15,117.83,42067.27,23.0,581.83,Yes,No,Yes,Unsolved,No reason specified,5
fffe43004900440035003400360030003100,Illa Miser,22,M,AY28IEV,City,Basic Membership,2015-08-22,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,21:59:11,20,282.53,14328.05,24.0,896.8259716482721,Yes,Yes,Yes,Solved,Poor Website,4
fffe43004900440035003100310033003300,Donya Weeks,44,M,6FG7Z7K,Village,No Membership,2017-04-10,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Wi-Fi,09:33:37,15,1378.665581598223,12813.07,9.0,147.0856046586356,No,Yes,Yes,Solved,No reason specified,5
fffe43004900440032003100310035003100,Shaina Taube,57,M,0UDII4I,,Gold Membership,2015-05-14,Yes,CID40797,Gift Vouchers/Coupons,Desktop,Mobile_Data,21:25:14,19,826.0853878230797,34196.17,21.0,701.51,Yes,No,No,Not Applicable,Poor Customer Service,4
fffe43004900440032003500390034003700,Nolan Huggett,30,F,XE76TLR,Town,Basic Membership,2016-11-09,Yes,CID58262,Without Offers,Both,Wi-Fi,08:33:00,2,204.7,4335.67,5.0,542.1,Yes,No,No,Not Applicable,Too many ads,5
fffe43004900440034003100360033003800,Carmina Pavlik,33,F,RA8FI0R,Town,Premium Membership,2015-06-05,Yes,CID2944,Credit/Debit Card Offers,?,Wi-Fi,00:27:09,5,32.75,1651.2,20.0,739.87,No,Yes,No,Not Applicable,Poor Website,3
fffe43004900440031003300370034003600,Dorine Gall,19,M,TL5B61Z,City,No Membership,2015-03-25,Yes,CID45924,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,21:42:38,16,617.08,18540.72,14.0,222.2489650850644,Yes,Yes,Yes,Solved,Poor Website,-1
fffe43004900440035003900360039003200,Jonathon Heather,38,M,5GPCXLN,Town,No Membership,2015-11-03,Yes,CID14518,Credit/Debit Card Offers,Smartphone,Wi-Fi,04:55:09,22,240.36,18934.65,12.0,,Yes,No,Yes,Unsolved,Too many ads,5
fffe43004900440034003900300030003000,Annamaria Scull,34,M,CNPU3IU,,Platinum Membership,2016-09-17,Yes,CID41673,Credit/Debit Card Offers,Desktop,Wi-Fi,17:14:32,12,295.73,1342.5,28.0,530.084317769294,No,Yes,No,Not Applicable,Too many ads,3
fffe43004900440035003000390033003600,Enola Wanner,35,M,N3089AK,City,Basic Membership,2016-01-05,Yes,CID18242,Credit/Debit Card Offers,?,Fiber_Optic,23:11:59,20,125.53,26691.31,Error,700.27,No,Yes,No,Not Applicable,Too many ads,4
fffe43004900440034003700350032003700,Evelyne Lonzo,28,F,AZALETR,City,Basic Membership,2017-10-16,Yes,CID39338,Credit/Debit Card Offers,?,Fiber_Optic,17:35:26,16,881.31,5366.02,19.0,819.2405628107657,Yes,No,Yes,Solved,Poor Customer Service,5
fffe4300490044003400330038003900,Xenia Dewolf,62,F,BRD9R05,Village,No Membership,2017-10-16,Yes,CID36568,Gift Vouchers/Coupons,Smartphone,Wi-Fi,07:15:15,12,46.66,10907.66,15.0,626.15,No,Yes,Yes,No Information Available,Poor Website,5
fffe43004900440031003800370031003200,Azucena Izaguirre,23,M,H85PGET,City,Basic Membership,2017-06-11,Yes,CID62107,Without Offers,Desktop,Mobile_Data,08:15:21,17,89.92,32798.85,19.0,549.53,No,Yes,No,Not Applicable,Poor Website,5
fffe43004900440035003600360033003300,Mechelle Levan,55,F,9CB5FCB,Town,Basic Membership,2015-05-25,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,14:14:36,4,200.23,7948.53,27.0,631.44,No,Yes,No,Not Applicable,Poor Website,4
fffe43004900440035003300320037003500,Steve Richart,55,F,3TKAS17,Town,Silver Membership,2016-12-10,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,01:40:58,14,460.71,2293.99,15.0,782.13,Yes,No,Yes,Unsolved,Poor Product Quality,3
fffe43004900440032003600350034003800,Marietta Shears,35,F,AP3TXBI,Town,Premium Membership,2015-05-26,Yes,CID18940,Without Offers,Both,Fiber_Optic,05:23:26,15,453.9,18094.82,17.0,788.36,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,3
fffe43004900440035003400340034003600,Rosa Yocum,18,M,SYDFF3C,City,Silver Membership,2017-06-22,?,CID31964,Without Offers,Smartphone,Wi-Fi,22:59:43,5,446.81,47558.9,27.0,749.93,Yes,No,Yes,Solved,Poor Customer Service,3
fffe43004900440035003200360039003500,Kelsie Gourlay,22,M,99GNTHA,,Gold Membership,2015-05-26,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,01:35:46,13,106.8,36541.97,Error,702.67,No,Yes,Yes,Solved in Follow-up,No reason specified,4
fffe43004900440031003100350039003500,Ira Litz,37,M,W060GQM,Town,Silver Membership,2015-09-20,?,CID25492,Gift Vouchers/Coupons,Smartphone,Mobile_Data,16:12:21,6,428.56,28595.38,-9.862246544024103,,Yes,Yes,No,Not Applicable,Poor Product Quality,4
fffe43004900440034003300300038003900,Laurette Cardwell,27,F,RSVMBV6,Town,Platinum Membership,2015-04-22,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,03:35:39,19,52.54,13416.25,8.0,773.49,No,Yes,No,Not Applicable,Products always in Stock,2
fffe43004900440032003400310035003500,Willis Morgenstern,23,M,2WKAT2R,City,Basic Membership,2017-09-27,Yes,CID12965,Gift Vouchers/Coupons,Desktop,Wi-Fi,19:37:58,23,84.11,22978.75,29.0,605.9,Yes,No,Yes,Solved in Follow-up,Poor Website,4
fffe43004900440031003400360031003100,Pam Smidt,45,M,0RCPPAA,Town,Platinum Membership,2015-04-12,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,20:52:29,4,64.5,49478.24,5.0,776.39,Yes,No,Yes,Unsolved,No reason specified,-1
fffe4300490044003900340035003100,Sonny Knipp,36,M,K3570EN,Town,No Membership,2015-10-20,Yes,CID55614,Without Offers,Smartphone,Wi-Fi,04:30:36,7,34.13,14868.27,27.0,609.06,No,Yes,Yes,Solved,Poor Customer Service,5
fffe43004900440033003500320038003600,Flora Abbott,46,F,UWW9ORU,City,Gold Membership,2017-05-24,Yes,CID53342,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,23:12:20,8,57.67,43115.46,26.0,633.66,No,Yes,Yes,Unsolved,Poor Product Quality,4
fffe43004900440034003200330031003500,Danny Fiedler,48,M,RESITGM,Village,Platinum Membership,2017-07-08,No,xxxxxxxx,Credit/Debit Card Offers,Both,Wi-Fi,10:37:52,24,340.34,41521.71,9.0,781.33,No,Yes,No,Not Applicable,Poor Customer Service,3
fffe43004900440036003000370037003600,Lucas Shores,43,M,ZBUEJC3,Village,Silver Membership,2016-02-24,Yes,CID13374,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,22:11:06,4,645.24,21308.56,1.0,766.57,No,Yes,Yes,Solved,User Friendly Website,2
fffe43004900440032003800380039003900,Janel Almeida,22,F,X7JG3P6,Town,Silver Membership,2017-08-10,?,CID52732,Gift Vouchers/Coupons,Desktop,Fiber_Optic,18:56:41,11,73.08,35434.02,29.0,965.8797834097747,No,Yes,No,Not Applicable,Too many ads,4
fffe43004900440033003900360035003200,Necole Falgoust,50,F,2K2OENK,City,Platinum Membership,2017-10-19,?,CID35004,Without Offers,Desktop,Fiber_Optic,03:09:07,16,131.95,84752.51,17.0,805.49,No,Yes,Yes,Unsolved,Products always in Stock,1
fffe43004900440034003700370037003600,Gerri Howey,52,F,FC0ISSK,City,Silver Membership,2016-07-18,Yes,CID46990,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,15:41:04,22,383.42,24358.05,23.0,615.25,Yes,Yes,Yes,No Information Available,Too many ads,4
fffe43004900440033003500390033003200,Claris Hutton,63,M,8TCHDB3,Town,Gold Membership,2017-09-05,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,07:45:10,16,33.69,23228.79,Error,732.11,Yes,No,No,Not Applicable,Too many ads,3
fffe43004900440034003600390034003400,Sidney Chamberlin,22,F,Y9ZGS0C,Town,Gold Membership,2016-12-31,Yes,CID551,Credit/Debit Card Offers,Desktop,Wi-Fi,20:32:47,15,31.91,37633.73,14.0,793.06,No,Yes,No,Not Applicable,Poor Customer Service,3
fffe43004900440035003600310036003300,Lynn Simmers,41,F,B98GTBS,Town,No Membership,2016-06-04,Yes,CID15176,Without Offers,Desktop,Wi-Fi,23:46:26,16,67.4,2497.51,-19.69702827133642,685.6,No,Yes,Yes,Unsolved,Poor Product Quality,5
fffe4300490044003100310033003300,Gracie Tharpe,40,M,Z9MSUYY,Town,No Membership,2015-01-28,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:58:57,22,75.32,24787.26,6.0,1108.7589834078094,No,Yes,No,Not Applicable,Poor Customer Service,5
fffe43004900440034003200350032003500,Setsuko Saliba,42,M,A84F4DY,City,Basic Membership,2017-04-06,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,08:53:38,12,105.27,26640.42,29.0,552.49,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,5
fffe43004900440034003600370037003100,Alethia Luera,26,M,8D6H52H,City,Platinum Membership,2015-08-11,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,15:46:52,16,349.42,45392.09,13.0,384.9378798881458,No,Yes,Yes,Solved,Poor Customer Service,3
fffe43004900440035003300380031003200,Damaris Buzzard,55,F,LJUUNQM,Town,Basic Membership,2015-10-22,No,xxxxxxxx,Credit/Debit Card Offers,Both,Wi-Fi,20:12:38,16,293.34,39236.76,19.0,660.06,No,Yes,Yes,Unsolved,Poor Product Quality,4
fffe43004900440032003400320035003200,Riley Roger,13,M,9H8M7HK,,Silver Membership,2017-03-11,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,07:31:45,7,194.07,6899.04,23.0,,Yes,No,Yes,Unsolved,Poor Product Quality,3
fffe43004900440035003700340037003200,Winford Stebbins,28,F,LQFUAKS,,Gold Membership,2017-04-05,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,14:47:19,15,196.71,14691.1,5.0,819.45,No,Yes,Yes,Solved,Products always in Stock,1
fffe43004900440035003100380037003800,Delcie Greely,50,F,GVQ6V1O,Town,Premium Membership,2015-08-05,Yes,CID44787,Gift Vouchers/Coupons,Desktop,Fiber_Optic,20:31:51,19,178.52,91969.52,15.0,255.7232162249336,Yes,No,No,Not Applicable,Quality Customer Care,2
fffe43004900440035003300380035003200,Karrie Schuetz,63,M,QLR31BG,City,Gold Membership,2016-12-23,Yes,CID57066,Gift Vouchers/Coupons,Desktop,Mobile_Data,01:30:47,4,213.4,11264.81,27.0,198.88301592657547,No,Yes,No,Not Applicable,Too many ads,4
fffe43004900440036003100330038003000,Narcisa Capito,57,M,2AKE1FY,City,No Membership,2017-01-25,Yes,CID5718,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,05:37:02,6,847.34,10838.79,23.0,263.2683099411676,No,Yes,No,Not Applicable,Poor Customer Service,5
fffe43004900440031003100300039003700,Minerva Gonzalas,14,M,OWIZI57,Town,Gold Membership,2017-08-31,Yes,CID40393,Gift Vouchers/Coupons,Desktop,Wi-Fi,08:03:49,16,44.25,10795.47,17.0,770.09,No,Yes,Yes,Unsolved,Poor Website,3
fffe43004900440034003000340030003200,Polly Overbey,57,M,WOQMF56,City,Platinum Membership,2015-05-04,Yes,CID27951,Credit/Debit Card Offers,Desktop,Fiber_Optic,07:53:10,5,1123.07,11645.8,9.0,784.35,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3
fffe43004900440034003200350034003700,Princess Canales,39,M,UQ3LF5Q,City,Premium Membership,2016-11-27,No,xxxxxxxx,,Desktop,Wi-Fi,10:08:16,-999,1209.0853027473595,99696.23,16.0,42.004794980154095,No,Yes,No,Not Applicable,Products always in Stock,1
fffe4300490044003400390037003900,Illa Fitting,34,F,Q2F4JER,Town,No Membership,2015-06-05,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,22:41:14,14,131.9,35709.03,8.0,645.41,No,Yes,Yes,Unsolved,Poor Website,5
fffe43004900440033003700380038003900,Melita Constance,44,F,MK796MY,Village,No Membership,2016-03-06,No,xxxxxxxx,,Desktop,Wi-Fi,00:41:40,10,166.79,43843.2,Error,679.48,Yes,No,No,Not Applicable,Poor Product Quality,4
fffe43004900440031003700380031003500,Lesli Moss,40,F,014K1I6,City,Basic Membership,2015-02-20,Yes,CID35002,Credit/Debit Card Offers,Desktop,Fiber_Optic,01:25:12,18,1143.9616175685535,6522.54,22.0,619.89,Yes,No,Yes,Unsolved,Poor Product Quality,-1
fffe43004900440033003300310032003200,Rufus Lukes,20,M,BATB89Z,Village,Platinum Membership,2017-03-21,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,15:33:41,16,244.33,94473.64,17.0,775.99,No,Yes,Yes,Unsolved,Quality Customer Care,2
fffe4300490044003200380030003700,Desire Saine,45,F,172HCCR,Village,Silver Membership,2016-09-30,Yes,CID21683,Without Offers,Smartphone,Wi-Fi,05:47:06,7,275.14,46395.58,6.0,792.73,Yes,No,Yes,No Information Available,No reason specified,-1
fffe43004900440035003200380035003600,Kayleen Bruneau,21,M,PW3E6KR,Town,Basic Membership,2015-03-26,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,21:19:44,17,427.38,5825.98,Error,520.95,Yes,Yes,Yes,Solved,Poor Website,5
fffe4300490044003400390036003700,Colby Goolsby,63,M,82NEHZO,City,Platinum Membership,2017-05-17,Yes,CID10240,Without Offers,Desktop,Fiber_Optic,17:22:10,-999,289.48,1544.02,5.0,755.92,No,Yes,No,Not Applicable,Too many ads,3
fffe43004900440036003000330039003800,Phoebe Polen,18,F,EO5CSEK,Town,Gold Membership,2015-01-12,Yes,CID59464,Without Offers,Smartphone,Mobile_Data,17:20:22,11,48.56,22497.51,19.0,654.55,Yes,No,No,Not Applicable,No reason specified,4
fffe4300490044003400370034003500,Viva Hammill,50,M,4VPGPPR,Town,Basic Membership,2016-01-01,?,CID41288,Without Offers,Desktop,Fiber_Optic,19:35:59,8,56.9,28610.12,5.0,628.2,No,Yes,Yes,No Information Available,Too many ads,5
fffe43004900440033003100300031003200,Todd Primeaux,25,F,OOSP3VU,City,Basic Membership,2016-08-23,Yes,CID9320,Without Offers,Desktop,Fiber_Optic,16:25:52,16,824.37,42255.34,14.0,941.384766082834,No,Yes,Yes,Unsolved,No reason specified,5
fffe43004900440035003100320035003300,Eilene Ver,53,F,H0JC78Z,Village,No Membership,2015-10-08,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,05:10:47,8,237.58,5194.83,19.0,609.6,Yes,No,Yes,No Information Available,No reason specified,4
fffe4300490044003700370038003400,Caroyln Lufkin,46,F,UJIFKZU,City,Platinum Membership,2015-06-01,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,02:54:04,14,123.37,25563.38,15.0,792.35,Yes,No,No,Not Applicable,Too many ads,3
fffe43004900440035003700380038003000,Arletha Kopec,14,M,GW8HTZE,Town,No Membership,2016-10-21,Yes,CID45062,Credit/Debit Card Offers,Desktop,Wi-Fi,01:37:07,5,53.38,20241.62,16.0,576.76,No,Yes,No,Not Applicable,Poor Product Quality,5
fffe43004900440032003700390039003900,Federico Lynes,30,M,TLJ0LUA,City,Silver Membership,2016-05-05,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,02:00:09,16,37.18,8442.41,7.0,784.88,No,Yes,No,Not Applicable,Reasonable Price,2
fffe4300490044003600320036003700,Genevieve Zych,31,F,YSEGA1N,City,Platinum Membership,2016-10-20,Yes,CID38642,Credit/Debit Card Offers,?,Wi-Fi,04:16:44,21,57.44,23682.7,27.0,724.99,Yes,No,Yes,Solved in Follow-up,No reason specified,3
fffe43004900440035003100320039003400,Scottie Goodwill,49,F,Y1FPAFR,City,Premium Membership,2017-07-11,?,CID44371,Without Offers,Smartphone,Mobile_Data,07:41:47,13,31.08,42684.8,15.0,1341.5493348846685,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,3
fffe43004900440035003200360036003500,Caleb Scheetz,24,F,YJ4305N,Town,Platinum Membership,2016-03-26,?,CID14000,Without Offers,Smartphone,Fiber_Optic,10:03:34,15,77.76,15178.09,9.0,499.69564328333087,Yes,No,Yes,Solved,User Friendly Website,1
fffe43004900440031003300300037003500,Federico Devaney,61,M,8V1VCDH,City,Basic Membership,2015-12-19,Yes,CID20565,Without Offers,Smartphone,Mobile_Data,05:30:35,-999,173.52,2432.67,19.0,612.35,No,Yes,No,Not Applicable,Poor Website,4
fffe43004900440031003900330039003200,Marlena Delgiudice,48,F,PCQLXQY,City,Silver Membership,2017-06-16,Yes,CID2790,Without Offers,Smartphone,Mobile_Data,22:35:12,21,52.62,19861.35,20.0,697.36,Yes,No,Yes,Solved,Too many ads,4
fffe43004900440032003700360033003900,Teri Millener,20,M,8ZPQSVR,Town,Silver Membership,2016-11-26,Yes,CID8483,Without Offers,Desktop,Fiber_Optic,14:50:33,21,128.92,19417.2,18.0,707.07,No,Yes,No,Not Applicable,Poor Customer Service,3
fffe43004900440031003700350037003000,Glenda Steinert,35,M,EOQDTTT,Town,Premium Membership,2017-05-08,Yes,CID58653,Credit/Debit Card Offers,Desktop,Wi-Fi,04:16:33,20,57.99,25724.94,9.0,725.37,No,Yes,Yes,Solved,No reason specified,3
fffe43004900440035003300300039003000,Genoveva Skipworth,46,F,IHLD3L5,City,Silver Membership,2015-12-12,Yes,CID33273,Credit/Debit Card Offers,Smartphone,Wi-Fi,18:23:12,-999,670.52,9894.65,23.0,352.6097738079325,Yes,No,No,Not Applicable,Poor Product Quality,3
fffe4300490044003300380038003700,Jeanine Prager,56,M,FTCQE45,Town,Gold Membership,2015-06-01,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,15:09:01,7,1544.4105840062632,56609.54,18.0,811.0,Yes,Yes,No,Not Applicable,Products always in Stock,1
fffe43004900440034003300310030003200,Elidia Mckey,31,M,H6MOSLM,Town,Platinum Membership,2015-01-27,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,18:28:50,18,449.26,30146.05,4.0,1296.1585886480343,No,Yes,No,Not Applicable,Products always in Stock,1
fffe43004900440033003700380032003900,Beatriz Roehrig,42,M,87GDJKI,Town,No Membership,2016-01-15,?,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,12:31:48,24,147.82,7061.42,17.0,621.3,No,Yes,No,Not Applicable,Poor Website,5
fffe4300490044003500300031003000,Meaghan Stairs,48,M,QXYSGMG,Village,Premium Membership,2015-10-26,?,CID7739,Without Offers,Both,Wi-Fi,13:19:44,12,509.13,41749.24,16.0,268.625569353944,Yes,Yes,No,Not Applicable,Too many ads,3
fffe4300490044003800380032003100,Shaina Curry,54,F,IBJZPQJ,Village,No Membership,2017-05-09,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,11:21:04,9,50.27,10616.35,5.0,380.0501362498338,No,Yes,No,Not Applicable,Too many ads,4
fffe43004900440033003900330030003600,Melita Markow,21,F,2WK7W0V,Town,Silver Membership,2015-09-10,Yes,CID45076,Credit/Debit Card Offers,Desktop,Fiber_Optic,00:07:57,18,68.74,21278.51,21.0,688.33,Yes,No,Yes,Solved in Follow-up,No reason specified,4
fffe43004900440031003400360034003300,Sybil Hodson,36,M,BI8NMIW,,Platinum Membership,2015-08-23,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,07:25:12,21,-1048.21574262514,90630.15,Error,834.45,No,Yes,Yes,Solved,User Friendly Website,1
fffe43004900440031003800330033003300,Christene Rickman,25,F,NN15DBK,Village,Gold Membership,2017-07-12,Yes,CID5674,Gift Vouchers/Coupons,Smartphone,Mobile_Data,20:51:24,12,30.89,27204.66,23.0,728.07,Yes,No,No,Not Applicable,Too many ads,3
fffe43004900440032003700390036003000,Damaris Wolken,27,M,2ZBDLNK,Village,Basic Membership,2015-11-07,?,CID46587,Credit/Debit Card Offers,Smartphone,Fiber_Optic,16:31:49,-999,30.49,47968.41,17.0,635.32,No,Yes,Yes,Solved in Follow-up,No reason specified,-1
fffe43004900440033003000390033003600,America Richart,61,F,1VOMKBW,City,Gold Membership,2015-09-29,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,00:39:06,12,380.02,24219.87,10.0,,Yes,No,No,Not Applicable,Reasonable Price,2
fffe43004900440033003600340030003500,Angelyn Raminez,41,M,MNHLJWS,Town,Basic Membership,2015-10-21,Yes,CID59156,Without Offers,Smartphone,Mobile_Data,09:37:48,22,87.82,4967.46,23.0,637.19,No,Yes,No,Not Applicable,Too many ads,4
fffe43004900440032003000320033003400,Leonel Eriksen,31,F,AMWAQJ9,Town,Silver Membership,2017-11-24,Yes,CID2479,Without Offers,Desktop,Wi-Fi,17:54:22,16,410.54,33314.76,Error,749.46,Yes,No,No,Not Applicable,Poor Website,3
fffe43004900440035003700300035003800,Gerri Nickell,60,M,1M5W8RT,City,Premium Membership,2017-01-13,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,02:57:43,13,247.55,29371.09,Error,754.96,Yes,Yes,Yes,Unsolved,No reason specified,3
